icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,squawk,spi,position_source,snapshot_time
a22233,CXK312,United States,1787874146,1787874146,-118.3203,33.8116,396.24,False,52.52,122.6,0.65,342.9,0262,False,0,1787874146
ac1020,N8768R,United States,1787874145,1787874146,-120.1944,35.2684,1981.2,False,72.78,214.93,0.33,2065.02,,False,0,1787874146
a9656c,N704WP,United States,1787874146,1787874146,-118.5332,34.1695,426.72,False,53.53,289.65,-0.98,365.76,,False,0,1787874146
a9c84f,N7297G,United States,1787874145,1787874145,-118.223,33.8842,320.04,False,41.83,4.94,-1.63,243.84,1200,False,0,1787874146
a114db,N169TW,United States,1787874100,1787874100,-118.2384,33.8902,91.44,False,25.21,270.0,-1.95,0.0,1200,False,0,1787874146
a5958c,SWA1426,United States,1787874146,1787874146,-117.2103,32.7391,266.7,False,91.12,287.41,14.63,190.5,,False,0,1787874146
a2cd4f,N28TD,United States,1787874142,1787874142,-120.0714,34.6068,,True,4.63,98.44,,,1200,False,0,1787874146
aaf4b7,N805CW,United States,1787874043,1787874043,-120.4545,34.9027,,True,3.86,39.38,,,1200,False,0,1787874146
a1acce,N207JB,United States,1787874146,1787874146,-117.2538,33.1654,830.58,False,89.02,96.3,-8.45,807.72,4762,False,0,1787874146
a8dd2c,QXE2415,United States,1787874115,1787874115,-117.2017,32.7354,,True,4.63,286.88,,,7435,False,0,1787874146
a59662,N4593X,United States,1787874135,1787874138,-118.4916,34.2132,,True,1.54,264.38,,,,False,0,1787874146
a4d984,N411TD,United States,1787874146,1787874146,-118.8711,34.1158,579.12,False,40.04,117.55,3.25,541.02,,False,0,1787874146
a8a93a,N6571D,United States,1787874146,1787874146,-118.2968,33.808,1615.44,False,54.23,136.92,0.33,1638.3,4644,False,0,1787874146
a9ea6e,N738TB,United States,1787874146,1787874146,-116.8956,32.9839,1028.7,False,50.26,157.11,-2.6,1013.46,,False,0,1787874146
ac247a,SWA3016,United States,1787874146,1787874146,-118.7628,33.5709,3893.82,False,175.21,107.96,-9.75,4130.04,3016,False,0,1787874146
ac6b88,N9LV,United States,1787874146,1787874146,-118.1696,34.5162,4831.08,False,166.8,70.17,10.73,5120.64,2026,False,0,1787874146
addb2b,KOW992,United States,1787874146,1787874146,-117.2761,32.7751,1348.74,False,126.37,305.89,9.43,1379.22,,False,0,1787874146
a368ab,,United States,1787873942,1787873942,-116.9057,33.0257,708.66,False,47.61,96.2,-1.63,685.8,,False,0,1787874146
a5c077,CXK305,United States,1787874146,1787874146,-117.0082,33.2568,1684.02,False,63.13,165.85,0.0,1729.74,4740,False,0,1787874146
a0e2e5,N1560V,United States,1787874146,1787874146,-116.8859,32.8125,1402.08,False,55.68,211.78,0.33,1402.08,1200,False,0,1787874146
0d112e,AMX642,Mexico,1787873996,1787873996,-118.3818,33.9397,83.82,False,74.15,262.83,-3.25,22.86,3215,False,0,1787874146
a22432,N237TH,United States,1787874145,1787874145,-118.9468,35.2167,1066.8,False,43.07,7.55,-0.33,1097.28,,False,0,1787874146
ae1daa,CUTLS53,United States,1787874146,1787874146,-118.0814,33.2622,144.78,False,72.55,299.29,-0.33,60.96,,False,0,1787874146
adfe94,LOST77,United States,1787874145,1787874146,-118.1345,33.9222,3688.08,False,136.67,334.11,1.3,3886.2,7163,False,0,1787874146
a15b21,N187ER,United States,1787874146,1787874146,-118.1798,33.8249,198.12,False,35.72,311.5,0.0,144.78,1200,False,0,1787874146
a41e2c,UAL2146,United States,1787874145,1787874145,-118.3516,33.9671,4450.08,False,196.13,46.38,5.2,4701.54,1330,False,0,1787874146
ae6010,KNIFE26,United States,1787873884,1787873884,-118.0527,33.792,,True,0.0,168.75,,,0275,False,0,1787874146
