,missing_values,missing_percent
snapshot_time,0,0.0
icao24_a,0,0.0
icao24_b,0,0.0
position_age_a_s,0,0.0
position_age_b_s,0,0.0
latitude_a,0,0.0
longitude_a,0,0.0
altitude_a_m,0,0.0
velocity_a_mps,0,0.0
true_track_a_deg,0,0.0
latitude_b,0,0.0
longitude_b,0,0.0
altitude_b_m,0,0.0
velocity_b_mps,0,0.0
true_track_b_deg,0,0.0
lateral_distance_m,0,0.0
lateral_distance_nm,0,0.0
closing_speed_mps,0,0.0
bearing_difference_deg,0,0.0
vertical_separation_m,0,0.0
time_to_cpa_s,0,0.0
collision_risk,0,0.0
lateral_separation_limit_nm,0,0.0
vertical_separation_limit_ft,0,0.0
